timestamp,arbitration_id,data_field,attack
1672531200.0,140,00098E0833323F20,0
1672531200.000035,141,BF2DAF2D8EC80002,0
1672531200.000045,144,00017A3730A80340,0
1672531200.0000532,156,0180000000000020,0
1672531200.00006,148,0B178F8841006605,0
1672531200.0011382,149,170C3F33AA270000,0
1672531200.001157,002,000770037A000000,0
1672531200.0011642,368,0400008300000000,0
1672531200.0011742,164,0000000000000000,0
1672531200.0011842,371,0100016003D0FF20,0
1672531200.009277,140,000A920833323FA0,0
1672531200.0093112,075,00000000000A0C54,0
1672531200.01046,0D0,FEFF00000B3800FD,0
1672531200.010483,0D1,85080080,0
1672531200.010493,0D2,0000FFFF00010000,0
1672531200.010508,0D3,8005C00F4C23CC,0
1672531200.0105162,070,0B8000FFE07F0CBD,0
1672531200.010524,002,000770057C000000,0
1672531200.0116882,080,25800000BC7F0C07,0
1672531200.0117111,0D4,8308870881088308,0
1672531200.0117202,141,BF2DA92D92880002,0
1672531200.011728,148,0B188E8841006605,0
1672531200.0117362,150,0000,0
1672531200.012814,149,170C3F33AA270000,0
1672531200.0128372,160,00008000002006A6,0
1672531200.0128462,576,0000000002202C67,0
1672531200.012854,161,782D81FF00600085,0
1672531200.012861,162,00029508A5000600,0
1672531200.0140371,163,0000434D00060007,0
1672531200.014068,22A,D426000030FF7F00,0
1672531200.015212,280,0603100000000000,0
1672531200.01637,152,F1A400000000008C,0
1672531200.0198472,140,000B910833323F20,0
1672531200.019889,141,BF2DA92D92880002,0
1672531200.0198982,144,00017A3730A80340,0
1672531200.019905,156,0180000000000020,0
1672531200.0199132,360,B90E89832A70004D,0
1672531200.020982,148,0B198F8841006605,0
1672531200.0209932,282,61B0004F4F002403,0
1672531200.021001,002,000770077E000000,0
1672531200.0210102,149,170C3F33AA270000,0
1672531200.021018,164,0100000000000001,0
1672531200.0220962,361,003A00D303000000,0
1672531200.0221112,362,B37A5CC85544E104,0
1672531200.022119,371,000000A003CDFF20,0
1672531200.022129,6FC,02160428010D3700,0
1672531200.0265012,154,100000000000C0,0
1672531200.0265312,376,FA,0
1672531200.0299542,140,000C910833323FA0,0
1672531200.029977,075,00000000000A0D49,0
1672531200.029987,0D0,FEFF00000B380000,0
1672531200.030002,0D1,83080080,0
1672531200.0300102,0D2,0000FFFF00010000,0
1672531200.030018,0D3,8005C00F5C23CD,0
1672531200.031196,070,1A8000FF4F7F0D32,0
1672531200.031224,002,0008700981000000,0
1672531200.031233,080,178000008E7F0D5D,0
1672531200.0312412,0D4,8508820880088308,0
1672531200.031248,141,C22DAA2D91880002,0
1672531200.0323992,148,0B1A908841006605,0
1672531200.0324202,150,0000,0
1672531200.032428,149,170C3F33AA270000,0
1672531200.032436,325,4484C00000000000,0
1672531200.032444,370,0200000003080000,0
1672531200.0335162,576,0000000004002D0A,0
1672531200.0357912,280,0604100000000000,0
1672531200.035829,152,F9B400000000008C,0
1672531200.0392842,140,000D920833323F20,0
1672531200.039323,141,C22DAA2D92880002,0
1672531200.0405142,144,00017A3730A80340,0
1672531200.0405471,156,0180000000000020,0
1672531200.0405562,148,0B1B8F8841006605,0
1672531200.040563,149,170C3F33AA270000,0
1672531200.04057,002,0008700B83000000,0
1672531200.041727,164,0200000000000002,0
1672531200.041758,371,0300FDE701CFFF20,0
1672531200.046112,25C,2000000000000000,0
1672531200.0495422,075,0000000000000EAC,0
1672531200.0495791,0D0,FEFF01000B3801FF,0
1672531200.049586,0D1,85080080,0
1672531200.050656,0D2,0000FFFF00010000,0
1672531200.050673,0D3,0005C00F6823CE,0
1672531200.0506802,0D4,8608850880088108,0
1672531200.0506892,002,0008700D85000000,0
1672531200.050698,070,1A8000FF707F0EBB,0
1672531200.051906,080,F77F0000B97E0E8D,0
1672531200.0519452,140,000E960833323FA0,0
1672531200.051953,141,C22DAB2D96880002,0
1672531200.0519602,148,0B1C8F8841006605,0
1672531200.0519671,150,0000,0
1672531200.051998,149,170C3F33AA270000,0
1672531200.053071,576,0000000002222EC5,0
1672531200.05309,368,0400008300000000,0
1672531200.0552232,280,0605100000000000,0
1672531200.0564382,152,F1C400000000008C,0
1672531200.059755,140,000F950833323F20,0
1672531200.05978,141,C22DA62D96C80002,0
1672531200.05979,144,00017A3730A80340,0
1672531200.060857,156,0180000000000020,0
1672531200.0608692,148,0B1D8F8841006605,0
1672531200.060878,002,0008700F87000000,0
1672531200.060888,149,170C3F33AA270000,0
1672531200.060897,160,00008000002007A7,0
1672531200.062047,371,0200010002CEFF20,0
1672531200.062071,161,7C2D81FF00700099,0
1672531200.062081,162,00029608A7000700,0
